@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2}

@data
140,'2019/12/08 21:58:48:759',1,0.221202,0.850854,0.000609,0.891329,1.004385,0.792169,0.572531,0.792338,1
141,'2019/12/08 21:58:48:762',1,0.221202,0.850854,0.000609,0.891329,1.004385,0.792169,0.572531,0.792338,1
142,'2019/12/08 21:58:48:805',1,0.221202,0.850854,0.000609,0.891329,1.004385,0.792169,0.572531,0.792338,1
143,'2019/12/08 21:58:48:809',1,0.221202,0.850854,0.000609,0.891329,1.004385,0.792169,0.572531,0.792338,1
144,'2019/12/08 21:58:48:855',1,0.209792,0.858071,0.005265,0.88488,1.008646,0.801716,0.559736,0.80557,1
145,'2019/12/08 21:58:48:859',1,0.209792,0.858071,0.005265,0.88488,1.008646,0.801716,0.559736,0.80557,1
146,'2019/12/08 21:58:48:907',1,0.209792,0.858071,0.005265,0.88488,1.008646,0.801716,0.559736,0.80557,1
147,'2019/12/08 21:58:48:912',1,0.209792,0.858071,0.005265,0.88488,1.008646,0.801716,0.559736,0.80557,1
148,'2019/12/08 21:58:48:957',1,0.209792,0.858071,0.005265,0.88488,1.008646,0.801716,0.559736,0.80557,1
149,'2019/12/08 21:58:48:960',1,0.209792,0.858071,0.005265,0.88488,1.008646,0.801716,0.559736,0.80557,1
150,'2019/12/08 21:58:49:005',1,0.209792,0.858071,0.005265,0.88488,1.008646,0.801716,0.559736,0.80557,1
151,'2019/12/08 21:58:49:008',1,0.209792,0.858071,0.005265,0.88488,1.008646,0.801716,0.559736,0.80557,1
152,'2019/12/08 21:58:49:055',1,0.225678,0.851467,-0.003618,0.876103,1.00811,0.780228,0.562807,0.801959,1
153,'2019/12/08 21:58:49:058',1,0.225678,0.851467,-0.003618,0.876103,1.00811,0.780228,0.562807,0.801959,1
154,'2019/12/08 21:58:49:105',1,0.225678,0.851467,-0.003618,0.876103,1.00811,0.780228,0.562807,0.801959,1
155,'2019/12/08 21:58:49:108',1,0.225678,0.851467,-0.003618,0.876103,1.00811,0.780228,0.562807,0.801959,1
156,'2019/12/08 21:58:49:157',1,0.225678,0.851467,-0.003618,0.876103,1.00811,0.780228,0.562807,0.801959,1
157,'2019/12/08 21:58:49:161',1,0.225678,0.851467,-0.003618,0.876103,1.00811,0.780228,0.562807,0.801959,1
158,'2019/12/08 21:58:49:208',1,0.220435,0.842933,0.000492,0.882295,0.996764,0.740729,0.586155,0.820611,1
159,'2019/12/08 21:58:49:210',1,0.220435,0.842933,0.000492,0.882295,0.996764,0.740729,0.586155,0.820611,1
160,'2019/12/08 21:58:49:259',1,0.220435,0.842933,0.000492,0.882295,0.996764,0.740729,0.586155,0.820611,1
161,'2019/12/08 21:58:49:262',1,0.220435,0.842933,0.000492,0.882295,0.996764,0.740729,0.586155,0.820611,1
162,'2019/12/08 21:58:49:310',1,0.220435,0.842933,0.000492,0.882295,0.996764,0.740729,0.586155,0.820611,1
163,'2019/12/08 21:58:49:315',1,0.220435,0.842933,0.000492,0.882295,0.996764,0.740729,0.586155,0.820611,1
164,'2019/12/08 21:58:49:357',1,0.220435,0.842933,0.000492,0.882295,0.996764,0.740729,0.586155,0.820611,1
165,'2019/12/08 21:58:49:360',1,0.220435,0.842933,0.000492,0.882295,0.996764,0.740729,0.586155,0.820611,1
166,'2019/12/08 21:58:49:406',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
167,'2019/12/08 21:58:49:409',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
168,'2019/12/08 21:58:49:456',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
169,'2019/12/08 21:58:49:459',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
170,'2019/12/08 21:58:49:508',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
171,'2019/12/08 21:58:49:513',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
172,'2019/12/08 21:58:49:557',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
173,'2019/12/08 21:58:49:560',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
174,'2019/12/08 21:58:49:606',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
175,'2019/12/08 21:58:49:609',1,0.216391,0.843406,0.006658,0.877351,0.95251,0.764169,0.567625,0.802013,1
176,'2019/12/08 21:58:49:656',1,0.204823,0.868702,0.00752,0.872934,0.984907,0.767095,0.529004,0.754111,1
177,'2019/12/08 21:58:49:659',1,0.204823,0.868702,0.00752,0.872934,0.984907,0.767095,0.529004,0.754111,1
178,'2019/12/08 21:58:49:706',1,0.204823,0.868702,0.00752,0.872934,0.984907,0.767095,0.529004,0.754111,1
179,'2019/12/08 21:58:49:709',1,0.204823,0.868702,0.00752,0.872934,0.984907,0.767095,0.529004,0.754111,1
180,'2019/12/08 21:58:49:758',1,0.204823,0.868702,0.00752,0.872934,0.984907,0.767095,0.529004,0.754111,1
181,'2019/12/08 21:58:49:761',1,0.204823,0.868702,0.00752,0.872934,0.984907,0.767095,0.529004,0.754111,1
182,'2019/12/08 21:58:49:806',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
183,'2019/12/08 21:58:49:810',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
184,'2019/12/08 21:58:49:857',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
185,'2019/12/08 21:58:49:860',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
186,'2019/12/08 21:58:49:906',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
187,'2019/12/08 21:58:49:908',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
188,'2019/12/08 21:58:49:958',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
189,'2019/12/08 21:58:49:963',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
190,'2019/12/08 21:58:50:006',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
191,'2019/12/08 21:58:50:009',1,0.210552,0.869359,0.005399,0.856377,0.988593,0.791966,0.536724,0.751257,1
192,'2019/12/08 21:58:50:057',1,0.18463,0.880725,0.006582,0.849163,0.992657,0.725231,0.57565,0.768585,1
193,'2019/12/08 21:58:50:060',1,0.18463,0.880725,0.006582,0.849163,0.992657,0.725231,0.57565,0.768585,1
194,'2019/12/08 21:58:50:107',1,0.18463,0.880725,0.006582,0.849163,0.992657,0.725231,0.57565,0.768585,1
195,'2019/12/08 21:58:50:110',1,0.18463,0.880725,0.006582,0.849163,0.992657,0.725231,0.57565,0.768585,1
196,'2019/12/08 21:58:50:157',1,0.18463,0.880725,0.006582,0.849163,0.992657,0.725231,0.57565,0.768585,1
197,'2019/12/08 21:58:50:160',1,0.18463,0.880725,0.006582,0.849163,0.992657,0.725231,0.57565,0.768585,1
198,'2019/12/08 21:58:50:208',1,1.002673,0.78773,0.597891,0.805309,0.222599,0.883016,-0.020356,0.866582,1
