@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
111,'2019/12/13 10:57:41:551',1,0.404978,0.79446,0.14097,0.795225,0.270627,0.39148,1.025818,0.059477,0.713208,-0.012088,0.840896,0.17163,360.032654,1
112,'2019/12/13 10:57:41:555',1,0.404978,0.79446,0.14097,0.795225,0.270627,0.39148,1.025818,0.059477,0.713208,-0.012088,0.840896,0.17163,360.032654,1
113,'2019/12/13 10:57:41:601',1,0.404978,0.79446,0.14097,0.795225,0.270627,0.39148,1.025818,0.059477,0.713208,-0.012088,0.840896,0.17163,360.032654,1
114,'2019/12/13 10:57:41:604',1,0.404978,0.79446,0.14097,0.795225,0.270627,0.39148,1.025818,0.059477,0.713208,-0.012088,0.840896,0.17163,360.032654,1
115,'2019/12/13 10:57:41:650',1,0.404978,0.79446,0.14097,0.795225,0.270627,0.39148,1.025818,0.059477,0.713208,-0.012088,0.840896,0.17163,360.032654,1
116,'2019/12/13 10:57:41:652',1,0.395987,0.790079,0.139511,0.792781,0.280265,0.388914,0.99751,-0.035041,0.732985,0.006869,0.841413,0.180176,358.408844,1
117,'2019/12/13 10:57:41:701',1,0.395987,0.790079,0.139511,0.792781,0.280265,0.388914,0.99751,-0.035041,0.732985,0.006869,0.841413,0.180176,358.408844,1
118,'2019/12/13 10:57:41:703',1,0.395987,0.790079,0.139511,0.792781,0.280265,0.388914,0.99751,-0.035041,0.732985,0.006869,0.841413,0.180176,358.408844,1
119,'2019/12/13 10:57:41:750',1,0.395987,0.790079,0.139511,0.792781,0.280265,0.388914,0.99751,-0.035041,0.732985,0.006869,0.841413,0.180176,358.408844,1
120,'2019/12/13 10:57:41:752',1,0.395987,0.790079,0.139511,0.792781,0.280265,0.388914,0.99751,-0.035041,0.732985,0.006869,0.841413,0.180176,358.408844,1
121,'2019/12/13 10:57:41:800',1,0.395987,0.790079,0.139511,0.792781,0.280265,0.388914,0.99751,-0.035041,0.732985,0.006869,0.841413,0.180176,358.408844,1
122,'2019/12/13 10:57:41:802',1,0.395987,0.790079,0.139511,0.792781,0.280265,0.388914,0.99751,-0.035041,0.732985,0.006869,0.841413,0.180176,358.408844,1
123,'2019/12/13 10:57:41:851',1,0.42601,0.786846,0.15691,0.789001,0.283081,0.389303,0.996535,-0.055461,0.712784,0.008546,0.845266,0.166484,352.230621,1
124,'2019/12/13 10:57:41:852',1,0.42601,0.786846,0.15691,0.789001,0.283081,0.389303,0.996535,-0.055461,0.712784,0.008546,0.845266,0.166484,352.230621,1
125,'2019/12/13 10:57:41:900',1,0.42601,0.786846,0.15691,0.789001,0.283081,0.389303,0.996535,-0.055461,0.712784,0.008546,0.845266,0.166484,352.230621,1
126,'2019/12/13 10:57:41:902',1,0.42601,0.786846,0.15691,0.789001,0.283081,0.389303,0.996535,-0.055461,0.712784,0.008546,0.845266,0.166484,352.230621,1
127,'2019/12/13 10:57:41:951',1,0.42601,0.786846,0.15691,0.789001,0.283081,0.389303,0.996535,-0.055461,0.712784,0.008546,0.845266,0.166484,352.230621,1
128,'2019/12/13 10:57:41:955',1,0.42601,0.786846,0.15691,0.789001,0.283081,0.389303,0.996535,-0.055461,0.712784,0.008546,0.845266,0.166484,352.230621,1
129,'2019/12/13 10:57:42:001',1,0.42601,0.786846,0.15691,0.789001,0.283081,0.389303,0.996535,-0.055461,0.712784,0.008546,0.845266,0.166484,352.230621,1
130,'2019/12/13 10:57:42:003',1,0.42601,0.786846,0.15691,0.789001,0.283081,0.389303,0.996535,-0.055461,0.712784,0.008546,0.845266,0.166484,352.230621,1
131,'2019/12/13 10:57:42:053',1,0.418517,0.784907,0.096125,0.783689,0.28106,0.39158,1.014839,0.062411,0.666607,0.100788,0.838989,0.167025,354.724152,1
132,'2019/12/13 10:57:42:055',1,0.418517,0.784907,0.096125,0.783689,0.28106,0.39158,1.014839,0.062411,0.666607,0.100788,0.838989,0.167025,354.724152,1
133,'2019/12/13 10:57:42:103',1,0.418517,0.784907,0.096125,0.783689,0.28106,0.39158,1.014839,0.062411,0.666607,0.100788,0.838989,0.167025,354.724152,1
134,'2019/12/13 10:57:42:105',1,0.418517,0.784907,0.096125,0.783689,0.28106,0.39158,1.014839,0.062411,0.666607,0.100788,0.838989,0.167025,354.724152,1
135,'2019/12/13 10:57:42:151',1,0.418517,0.784907,0.096125,0.783689,0.28106,0.39158,1.014839,0.062411,0.666607,0.100788,0.838989,0.167025,354.724152,1
136,'2019/12/13 10:57:42:158',1,0.418517,0.784907,0.096125,0.783689,0.28106,0.39158,1.014839,0.062411,0.666607,0.100788,0.838989,0.167025,354.724152,1
137,'2019/12/13 10:57:42:200',1,0.418517,0.784907,0.096125,0.783689,0.28106,0.39158,1.014839,0.062411,0.666607,0.100788,0.838989,0.167025,354.724152,1
138,'2019/12/13 10:57:42:203',1,0.418517,0.784907,0.096125,0.783689,0.28106,0.39158,1.014839,0.062411,0.666607,0.100788,0.838989,0.167025,354.724152,1
139,'2019/12/13 10:57:42:251',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
140,'2019/12/13 10:57:42:252',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
141,'2019/12/13 10:57:42:301',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
142,'2019/12/13 10:57:42:303',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
143,'2019/12/13 10:57:42:351',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
144,'2019/12/13 10:57:42:354',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
145,'2019/12/13 10:57:42:400',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
146,'2019/12/13 10:57:42:403',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
147,'2019/12/13 10:57:42:458',1,0.366909,0.783424,0.07677,0.785326,0.224462,0.394491,1.010003,0.104473,0.708109,-0.037987,0.846375,0.164317,381.55188,1
148,'2019/12/13 10:57:42:460',1,1.030389,0.177123,0.696792,0.052996,0.843157,0.161644,0.332592,0.780418,0.063747,0.71608,0.186666,0.385871,419.497589,1
